"Gender","Age.ct","Age","Bonus","GroupOne","Density","Value","Insurancescore","Exppdays","Numtppd","Indtppd","ClaimSeverity"
"Male",27,"2","4","3",43.84379769,8590,0.131157921034194,365,0,0,NA
"Female",60,"9","3","20",66.06668352,27445,0.0866132419343566,321,0,0,NA
"Female",62,"9","3","13",276.3355652,11290,0.159969937986919,365,0,0,NA
"Female",27,"2","11","16",30.46244233,26985,0.134592258582001,365,0,0,NA
"Male",37,"4","14","16",285.6217445,39705,0.21600159548231,365,0,0,NA
"Male",38,"5","2","4",123.969842,18655,0.0878617821742387,220,0,0,NA
"Female",31,"3","5","1",276.9950185,7540,0.234563665098073,120,0,0,NA
"Female",41,"5","16","10",272.9669948,24940,0.14878567413315,365,1,740.30229036,740.30229036
"Male",43,"6","1","7",184.4785165,8140,0.12714682049715,188,0,0,NA
"Male",25,"2","10","3",190.0515645,48945,0.295464062207935,138,1,207.32365675,207.32365675
"Male",35,"4","2","2",213.2556548,6595,0.152524897575881,298,0,0,NA
"Female",36,"4","1","14",201.6569069,8415,0.15498850494074,365,0,0,NA
"Male",31,"3","3","6",129.3156084,16510,0.165825499514967,365,0,0,NA
"Male",46,"6","1","12",284.9991194,27090,0.0733808005360364,365,0,0,NA
"Male",44,"6","16","4",60.07300249,1035,0.0968170299285802,246,0,0,NA
"Male",46,"6","1","15",84.22903844,24980,0.0255750184927323,275,0,0,NA
"Female",27,"2","7","11",40.0945365,8685,0.174507853768384,365,0,0,NA
"Male",45,"6","2","19",125.9456252,4565,0.106849692956549,365,0,0,NA
"Male",41,"5","2","10",284.1301175,43135,0.155042316199661,365,0,0,NA
"Female",29,"3","9","17",225.0430894,1525,0.25510748668608,365,1,803.29974915,803.29974915
"Female",37,"4","1","5",139.637282,20205,0.107195196566561,365,0,0,NA
"Female",27,"2","17","12",50.01092548,8970,0.205609958577549,236,0,0,NA
"Male",29,"3","8","15",222.2151274,13350,0.173048052559646,365,0,0,NA
"Male",47,"6","8","17",129.4194752,18480,0.110061937796957,365,1,867.68309782,867.68309782
"Female",47,"6","5","11",290.1327193,8690,0.149420404238462,365,2,1745.5027113,872.75135565
"Female",46,"6","1","7",276.3355652,2945,0.165471678946166,365,0,0,NA
"Female",65,"10","1","12",32.4149606,15550,0.022386009861571,365,0,0,NA
"Male",66,"10","3","6",160.3435748,16010,0.0742789519839865,206,0,0,NA
"Female",40,"5","1","4",18.23804646,17900,0.0682292904193484,365,0,0,NA
"Female",48,"7","1","13",276.9950185,4080,0.125807368799427,365,0,0,NA
"Male",74,"11","2","15",94.29603751,43235,0.110213738827777,365,0,0,NA
"Male",41,"5","1","12",66.94554904,9595,0.0676454256147699,365,0,0,NA
"Male",25,"2","2","9",129.4194752,6220,0.247701033736203,365,0,0,NA
"Male",31,"3","5","6",37.63520484,17820,0.114978350331037,195,0,0,NA
"Female",41,"5","11","9",55.29380019,8265,0.0655013733255465,365,0,0,NA
"Female",35,"4","18","16",88.89623143,6115,0.115925450017806,365,1,1648.2220518,1648.2220518
"Male",60,"9","3","19",225.0430894,28920,0.101832280213519,365,0,0,NA
"Male",43,"6","3","3",87.83581964,7230,0.082497405391401,365,0,0,NA
"Female",57,"8","2","8",190.0515645,16925,0.149567891400057,317,0,0,NA
"Female",46,"6","1","7",249.7835716,11965,0.157009493093005,365,1,406.54723376,406.54723376
"Male",29,"3","6","17",54.93181221,22880,0.162356999769275,365,0,0,NA
"Male",20,"1","5","1",291.3194903,4760,0.379064261896444,301,0,0,NA
"Male",29,"3","21","17",28.61559614,19990,0.111314335409909,117,1,190.43661962,190.43661962
"Male",42,"5","1","8",70.86106124,7260,0.143902502408302,365,0,0,NA
"Male",46,"6","1","6",78.33993486,7140,0.107229466243515,190,0,0,NA
"Female",29,"3","7","7",61.51657295,17805,0.110107692908293,365,0,0,NA
"Female",68,"11","2","16",30.37476431,20840,0.029845119132362,365,0,0,NA
"Female",30,"3","1","18",125.9456252,13005,0.170834824208998,365,0,0,NA
"Male",69,"11","1","9",205.4307964,27715,0.0411966213296959,365,1,3839.4812707,3839.4812707
"Male",43,"6","18","16",259.0040603,14330,0.147762441331706,365,3,1409.9527322,469.984244066667
