Method,Model,male_mean,female_mean,disparate_impact_ratio,rmse
GLM,M0: Full Model,130.46850829630867,95.65874782077812,1.3638952136478781,484.293083208988
GLM,MC: Controlling for the Protected Variable,113.95033918934675,124.17989001011966,0.9176231286729334,486.47161137857734
GLM,MCDP: Conditional Demographic Parity,115.78630794598286,120.99516100741398,0.9569499059461398,492.99517319640756
GLM,MDP: Demographic Parity,117.90155170230103,117.32599282893075,1.0049056382093393,492.1058500384439
GLM,MU: Unawareness Model,114.02763699273224,124.04580681540435,0.9192381421035828,486.45504735036553
XGBoost,M0: Full Model,130.99826532842113,94.60801533603924,1.3846423568143456,476.96979558356156
XGBoost,MC: Controlling for the Protected Variable,114.20609272287463,123.73623693788034,0.9229801677273396,479.88923454762784
XGBoost,MCDP: Conditional Demographic Parity,115.07320858331238,122.23212008479126,0.9414318307126407,479.924840733497
XGBoost,MDP: Demographic Parity,118.65718350203436,116.01522901263704,1.0227724800604372,488.2083112805545
XGBoost,MU: Unawareness Model,114.38224941818332,123.43068153268528,0.9266921967687112,479.4894737505506
