"PolNum","CalYear","Gender","Type","Category","Occupation","Age","Group1","Bonus","Poldur","Value","Adind","SubGroup2","Group2","Density","Exppdays","Numtppd","Numtpbi","Indtppd","Indtpbi","Exposure","ClaimNb","ClaimTotal","ClaimFrequency","PurePremium"
200114871,2009,"Male","C","Medium","Self-employed",27,3,-20,0,8590,0,"P20","P",43.84379769,365,0,0,0,0,1,0,0,0,0
200114872,2009,"Female","E","Large","Unemployed",60,20,-30,0,27445,0,"L112","L",66.06668352,321,0,0,0,0,0.879452054794521,0,0,0,0
200114873,2009,"Female","D","Medium","Housewife",62,13,-30,9,11290,1,"R36","R",276.3355652,365,0,0,0,0,1,0,0,0,0
200114874,2009,"Female","B","Small","Employed",27,16,50,3,26985,0,"T29","T",30.46244233,365,0,0,0,0,1,0,0,0,0
200114875,2009,"Male","F","Medium","Housewife",37,16,80,3,39705,1,"R31","R",285.6217445,365,0,0,0,0,1,0,0,0,0
200114876,2009,"Male","D","Large","Employed",38,4,-40,2,18655,1,"U17","U",123.969842,220,0,0,0,0,0.602739726027397,0,0,0,0
200114877,2009,"Female","B","Medium","Housewife",31,1,-10,14,7540,0,"R34","R",276.9950185,120,0,0,0,0,0.328767123287671,0,0,0,0
200114878,2009,"Female","A","Medium","Housewife",41,10,100,0,24940,1,"R19","R",272.9669948,365,1,0,740.30229036,0,1,1,740.30229036,1,740.30229036
200114879,2009,"Male","C","Small","Self-employed",43,7,-50,4,8140,0,"M13","M",184.4785165,188,0,0,0,0,0.515068493150685,0,0,0,0
200114880,2009,"Male","B","Small","Unemployed",25,3,40,12,48945,0,"M4","M",190.0515645,138,1,0,207.32365675,0,0.378082191780822,1,207.32365675,2.64492753623188,548.356048650362
200114881,2009,"Male","E","Medium","Housewife",35,2,-40,5,6595,1,"Q41","Q",213.2556548,298,0,0,0,0,0.816438356164384,0,0,0,0
200114882,2009,"Female","D","Small","Employed",36,14,-50,2,8415,1,"M17","M",201.6569069,365,0,0,0,0,1,0,0,0,0
200114883,2009,"Male","A","Medium","Housewife",31,6,-30,0,16510,1,"Q58","Q",129.3156084,365,0,0,0,0,1,0,0,0,0
200114884,2009,"Male","E","Small","Retired",46,12,-50,9,27090,1,"R40","R",284.9991194,365,0,0,0,0,1,0,0,0,0
