feature,group
Age,Age
Bonus,Bonus
Density,Density
Poldur,Poldur
Value,Value
Group1_1,Group1
Group1_10,Group1
Group1_11,Group1
Group1_12,Group1
Group1_13,Group1
Group1_14,Group1
Group1_15,Group1
Group1_16,Group1
Group1_17,Group1
Group1_18,Group1
Group1_19,Group1
Group1_2,Group1
Group1_20,Group1
Group1_3,Group1
Group1_4,Group1
Group1_5,Group1
Group1_6,Group1
Group1_7,Group1
Group1_8,Group1
Group1_9,Group1
Group2_L,Group2
Group2_M,Group2
Group2_N,Group2
Group2_O,Group2
Group2_P,Group2
Group2_Q,Group2
Group2_R,Group2
Group2_S,Group2
Group2_T,Group2
Group2_U,Group2
SubGroup2_L1,SubGroup2
SubGroup2_L10,SubGroup2
SubGroup2_L100,SubGroup2
SubGroup2_L101,SubGroup2
SubGroup2_L102,SubGroup2
SubGroup2_L103,SubGroup2
SubGroup2_L104,SubGroup2
SubGroup2_L105,SubGroup2
SubGroup2_L106,SubGroup2
SubGroup2_L107,SubGroup2
SubGroup2_L108,SubGroup2
SubGroup2_L109,SubGroup2
SubGroup2_L11,SubGroup2
SubGroup2_L110,SubGroup2
SubGroup2_L111,SubGroup2
SubGroup2_L112,SubGroup2
SubGroup2_L113,SubGroup2
SubGroup2_L114,SubGroup2
SubGroup2_L115,SubGroup2
SubGroup2_L116,SubGroup2
SubGroup2_L117,SubGroup2
SubGroup2_L118,SubGroup2
SubGroup2_L119,SubGroup2
SubGroup2_L12,SubGroup2
SubGroup2_L120,SubGroup2
SubGroup2_L121,SubGroup2
SubGroup2_L122,SubGroup2
SubGroup2_L123,SubGroup2
SubGroup2_L124,SubGroup2
SubGroup2_L125,SubGroup2
SubGroup2_L126,SubGroup2
SubGroup2_L127,SubGroup2
SubGroup2_L128,SubGroup2
SubGroup2_L129,SubGroup2
SubGroup2_L13,SubGroup2
SubGroup2_L130,SubGroup2
SubGroup2_L131,SubGroup2
SubGroup2_L132,SubGroup2
SubGroup2_L133,SubGroup2
SubGroup2_L134,SubGroup2
SubGroup2_L135,SubGroup2
SubGroup2_L136,SubGroup2
SubGroup2_L14,SubGroup2
SubGroup2_L15,SubGroup2
SubGroup2_L16,SubGroup2
SubGroup2_L17,SubGroup2
SubGroup2_L18,SubGroup2
SubGroup2_L19,SubGroup2
SubGroup2_L2,SubGroup2
SubGroup2_L20,SubGroup2
SubGroup2_L21,SubGroup2
SubGroup2_L22,SubGroup2
SubGroup2_L23,SubGroup2
SubGroup2_L24,SubGroup2
SubGroup2_L25,SubGroup2
SubGroup2_L26,SubGroup2
SubGroup2_L27,SubGroup2
SubGroup2_L28,SubGroup2
SubGroup2_L29,SubGroup2
SubGroup2_L3,SubGroup2
SubGroup2_L30,SubGroup2
SubGroup2_L31,SubGroup2
SubGroup2_L32,SubGroup2
SubGroup2_L33,SubGroup2
SubGroup2_L34,SubGroup2
SubGroup2_L35,SubGroup2
SubGroup2_L36,SubGroup2
SubGroup2_L37,SubGroup2
SubGroup2_L38,SubGroup2
SubGroup2_L39,SubGroup2
SubGroup2_L4,SubGroup2
SubGroup2_L40,SubGroup2
SubGroup2_L41,SubGroup2
SubGroup2_L42,SubGroup2
SubGroup2_L43,SubGroup2
SubGroup2_L44,SubGroup2
SubGroup2_L45,SubGroup2
SubGroup2_L46,SubGroup2
SubGroup2_L47,SubGroup2
SubGroup2_L48,SubGroup2
SubGroup2_L49,SubGroup2
SubGroup2_L5,SubGroup2
SubGroup2_L50,SubGroup2
SubGroup2_L51,SubGroup2
SubGroup2_L52,SubGroup2
SubGroup2_L53,SubGroup2
SubGroup2_L54,SubGroup2
SubGroup2_L55,SubGroup2
SubGroup2_L56,SubGroup2
SubGroup2_L57,SubGroup2
SubGroup2_L58,SubGroup2
SubGroup2_L59,SubGroup2
SubGroup2_L6,SubGroup2
SubGroup2_L60,SubGroup2
SubGroup2_L61,SubGroup2
SubGroup2_L62,SubGroup2
SubGroup2_L63,SubGroup2
SubGroup2_L64,SubGroup2
SubGroup2_L65,SubGroup2
SubGroup2_L66,SubGroup2
SubGroup2_L67,SubGroup2
SubGroup2_L68,SubGroup2
SubGroup2_L69,SubGroup2
SubGroup2_L7,SubGroup2
SubGroup2_L70,SubGroup2
SubGroup2_L71,SubGroup2
SubGroup2_L72,SubGroup2
SubGroup2_L73,SubGroup2
SubGroup2_L74,SubGroup2
SubGroup2_L75,SubGroup2
SubGroup2_L76,SubGroup2
SubGroup2_L77,SubGroup2
SubGroup2_L78,SubGroup2
SubGroup2_L79,SubGroup2
SubGroup2_L8,SubGroup2
SubGroup2_L80,SubGroup2
SubGroup2_L81,SubGroup2
SubGroup2_L82,SubGroup2
SubGroup2_L83,SubGroup2
SubGroup2_L84,SubGroup2
SubGroup2_L85,SubGroup2
SubGroup2_L86,SubGroup2
SubGroup2_L87,SubGroup2
SubGroup2_L88,SubGroup2
SubGroup2_L89,SubGroup2
SubGroup2_L9,SubGroup2
SubGroup2_L90,SubGroup2
SubGroup2_L91,SubGroup2
SubGroup2_L92,SubGroup2
SubGroup2_L93,SubGroup2
SubGroup2_L94,SubGroup2
SubGroup2_L95,SubGroup2
SubGroup2_L96,SubGroup2
SubGroup2_L97,SubGroup2
SubGroup2_L98,SubGroup2
SubGroup2_L99,SubGroup2
SubGroup2_M1,SubGroup2
SubGroup2_M10,SubGroup2
SubGroup2_M11,SubGroup2
SubGroup2_M12,SubGroup2
SubGroup2_M13,SubGroup2
SubGroup2_M14,SubGroup2
SubGroup2_M15,SubGroup2
SubGroup2_M16,SubGroup2
SubGroup2_M17,SubGroup2
SubGroup2_M18,SubGroup2
SubGroup2_M19,SubGroup2
SubGroup2_M2,SubGroup2
SubGroup2_M20,SubGroup2
SubGroup2_M21,SubGroup2
SubGroup2_M22,SubGroup2
SubGroup2_M3,SubGroup2
SubGroup2_M4,SubGroup2
SubGroup2_M5,SubGroup2
SubGroup2_M6,SubGroup2
SubGroup2_M7,SubGroup2
SubGroup2_M8,SubGroup2
SubGroup2_M9,SubGroup2
SubGroup2_N1,SubGroup2
SubGroup2_N10,SubGroup2
SubGroup2_N11,SubGroup2
SubGroup2_N12,SubGroup2
SubGroup2_N13,SubGroup2
SubGroup2_N14,SubGroup2
SubGroup2_N15,SubGroup2
SubGroup2_N16,SubGroup2
SubGroup2_N17,SubGroup2
SubGroup2_N18,SubGroup2
SubGroup2_N19,SubGroup2
SubGroup2_N2,SubGroup2
SubGroup2_N20,SubGroup2
SubGroup2_N21,SubGroup2
SubGroup2_N22,SubGroup2
SubGroup2_N23,SubGroup2
SubGroup2_N24,SubGroup2
SubGroup2_N25,SubGroup2
SubGroup2_N26,SubGroup2
SubGroup2_N3,SubGroup2
SubGroup2_N4,SubGroup2
SubGroup2_N5,SubGroup2
SubGroup2_N6,SubGroup2
SubGroup2_N7,SubGroup2
SubGroup2_N8,SubGroup2
SubGroup2_N9,SubGroup2
SubGroup2_O1,SubGroup2
SubGroup2_O10,SubGroup2
SubGroup2_O11,SubGroup2
SubGroup2_O12,SubGroup2
SubGroup2_O13,SubGroup2
SubGroup2_O14,SubGroup2
SubGroup2_O15,SubGroup2
SubGroup2_O16,SubGroup2
SubGroup2_O17,SubGroup2
SubGroup2_O18,SubGroup2
SubGroup2_O19,SubGroup2
SubGroup2_O2,SubGroup2
SubGroup2_O20,SubGroup2
SubGroup2_O21,SubGroup2
SubGroup2_O22,SubGroup2
SubGroup2_O23,SubGroup2
SubGroup2_O24,SubGroup2
SubGroup2_O25,SubGroup2
SubGroup2_O26,SubGroup2
SubGroup2_O27,SubGroup2
SubGroup2_O28,SubGroup2
SubGroup2_O29,SubGroup2
SubGroup2_O3,SubGroup2
SubGroup2_O30,SubGroup2
SubGroup2_O31,SubGroup2
SubGroup2_O32,SubGroup2
SubGroup2_O33,SubGroup2
SubGroup2_O34,SubGroup2
SubGroup2_O35,SubGroup2
SubGroup2_O36,SubGroup2
SubGroup2_O37,SubGroup2
SubGroup2_O38,SubGroup2
SubGroup2_O39,SubGroup2
SubGroup2_O4,SubGroup2
SubGroup2_O5,SubGroup2
SubGroup2_O6,SubGroup2
SubGroup2_O7,SubGroup2
SubGroup2_O8,SubGroup2
SubGroup2_O9,SubGroup2
SubGroup2_P1,SubGroup2
SubGroup2_P10,SubGroup2
SubGroup2_P11,SubGroup2
SubGroup2_P12,SubGroup2
SubGroup2_P13,SubGroup2
SubGroup2_P14,SubGroup2
SubGroup2_P15,SubGroup2
SubGroup2_P16,SubGroup2
SubGroup2_P17,SubGroup2
SubGroup2_P18,SubGroup2
SubGroup2_P19,SubGroup2
SubGroup2_P2,SubGroup2
SubGroup2_P20,SubGroup2
SubGroup2_P21,SubGroup2
SubGroup2_P22,SubGroup2
SubGroup2_P23,SubGroup2
SubGroup2_P24,SubGroup2
SubGroup2_P25,SubGroup2
SubGroup2_P26,SubGroup2
SubGroup2_P27,SubGroup2
