Variable,Importance,Std
Bonus,0.10265352245994241,0.004604100131132641
Age,0.05563836182285427,0.002287979027224188
Density,0.032422072925130406,0.0037646494421919746
Group1,0.02429842867529567,0.0020180359884921983
Occupation,0.015292070295049875,0.00155535711385735
SubGroup2,0.011019746411039522,0.0011296811883004518
Gender,0.007190864566020472,0.0014447722749471113
Poldur,0.0027355167111625554,0.0010661699747895174
Type,0.0017856448800915748,0.0008615062243196387
Group2,0.0003849878460055134,0.0006483749051213822
Value,0.0003367576520071802,0.0005851721887289184
Category,6.597291961965012e-05,0.00013633151059513373
Adind,4.703056646708781e-05,4.330427149324277e-05
