群体,epsilon,真实均值,噪声SD,平均|偏差|,最大|偏差|
"整体业务组合 (n=100,000)",0.1,41.13,0.01,0.007,0.046
"整体业务组合 (n=100,000)",0.5,41.13,0.002,0.002,0.011
"整体业务组合 (n=100,000)",1.0,41.13,0.001,0.001,0.005
"整体业务组合 (n=100,000)",5.0,41.13,0.0,0.0,0.001
"整体业务组合 (n=100,000)",10.0,41.13,0.0,0.0,0.0
小型子群体: 男性66+豪华车 (讲义基准),0.1,70.47,2.011,1.491,5.996
小型子群体: 男性66+豪华车 (讲义基准),0.5,70.47,0.374,0.282,1.413
小型子群体: 男性66+豪华车 (讲义基准),1.0,70.47,0.198,0.151,0.757
小型子群体: 男性66+豪华车 (讲义基准),5.0,70.47,0.048,0.033,0.201
小型子群体: 男性66+豪华车 (讲义基准),10.0,70.47,0.022,0.015,0.09
子群体: 66+ 且密集城区 (本题),0.1,70.26,0.84,0.577,5.144
子群体: 66+ 且密集城区 (本题),0.5,70.26,0.165,0.122,0.565
子群体: 66+ 且密集城区 (本题),1.0,70.26,0.066,0.048,0.224
子群体: 66+ 且密集城区 (本题),5.0,70.26,0.016,0.011,0.074
子群体: 66+ 且密集城区 (本题),10.0,70.26,0.008,0.005,0.033
